date,c,d,act,out,pol1,pol2,pol3
2020-04-04,0.0008446043410483036,2.2922302304396392e-05,0.3912809184733534,0.35305024125491774,0.9996153076638907,0.9981731565252854,0.926995067471412
2020-04-05,0.0009124274475161953,2.5097728862705295e-05,0.29857269111398266,0.2463690540238553,0.9996153076638907,0.9981731565252854,0.926995067471412
2020-04-06,0.0009898960606626193,2.8775873151292207e-05,0.402062975105138,0.4792571205820417,0.9996235273567627,0.9981731565252854,0.9402413334625673
2020-04-07,0.0010742858770745511,3.5004286728235256e-05,0.40879375397665574,0.507908517815107,0.9996235273567627,0.9981731565252854,0.9558090234550037
2020-04-08,0.0011594889683382858,4.032906158095764e-05,0.41878542013850206,0.5167396007347859,0.9996235273567627,0.9981731565252854,0.9558090234550037
2020-04-09,0.0012572158229576997,4.520536388165927e-05,0.42157262111401395,0.518403322741168,0.9996235273567627,0.9981731565252854,0.9558090234550037
2020-04-10,0.001349172776982466,5.108570920927272e-05,0.45801056429358594,0.5154714228226545,0.9996235273567627,0.9981731565252854,0.9558090234550037
2020-04-11,0.0014249780255143078,5.520228561961116e-05,0.4134693810895591,0.3605266549784576,0.9996235273567627,0.9981731565252854,0.9558090234550037
2020-04-12,0.0014951974480064288,5.88570022375701e-05,0.21399014210232833,0.19386910980432204,0.9996235273567627,0.9981731565252854,0.9558090234550037
2020-04-13,0.0015589006312538925,6.324132345508489e-05,0.36311228092092485,0.4620559961564169,0.9996235273567627,0.9981731565252854,0.9558090234550037
2020-04-14,0.0016279520170247085,6.87033175214847e-05,0.3965826852405484,0.5088130407723938,0.9996235273567627,0.9981731565252854,0.9558090234550037
2020-04-15,0.0017068965734206955,7.510911203318177e-05,0.42902874142217856,0.525497067847907,0.9996235273567627,0.9981731565252854,0.9558090234550037
2020-04-16,0.0017828055730653182,8.00791250163952e-05,0.4284543311207099,0.5357707434831968,0.9996451375183567,0.9981731565252854,0.9558090234550037
2020-04-17,0.0018640426943727535,8.49152655960205e-05,0.46337622875728907,0.5506845788865679,0.9996487821623053,0.9981731565252854,0.9558090234550037
2020-04-18,0.0019359087474290098,8.877079081936185e-05,0.4124635481306615,0.3809630539713009,0.9996487821623053,0.9981731565252854,0.9558090234550037
2020-04-19,0.0019974833594594284,9.380774000436938e-05,0.3180268133466276,0.2608203143418622,0.9996487821623053,0.9981731565252854,0.9558090234550037
2020-04-20,0.0020635192693394117,9.828911871448569e-05,0.420641569946552,0.5111558394318806,0.9996487821623053,0.9812459306705248,0.9388817976002432
2020-04-21,0.0021310880182404983,0.00010510322405712714,0.44988758994260813,0.5424911605194154,0.9996513391025961,0.9812459306705248,0.9388817976002432
2020-04-22,0.0022006682000054937,0.00011010001152105815,0.45097221517414277,0.5585690309493763,0.9996513391025961,0.9812459306705248,0.9388817976002432
